1,2,3,4,F2/F1
1.4444,1.4444,36.6667,8,0.4971
1.4444,1.4444,36.6667,9,0.5632
1,1.4444,23.3333,6,0.2154
1.4444,1.4444,36.6667,10,0.6142
1.4444,1.4444,40,1,0
1.4444,1.4444,40,2,0
1.4444,1.4444,40,3,0
1.4444,1.4444,40,4,0
1.4444,1.4444,40,5,0
1.4444,1.4444,40,6,0.2449
1.4444,1.4444,40,7,0.404
1.4444,1.4444,40,8,0.5073
1.4444,1.4444,40,9,0.5759
1,1.4444,23.3333,7,0.3647
1.4444,1.4444,40,10,0.622
1.4444,1.4444,43.3333,1,0
1.4444,1.4444,43.3333,2,0
1.4444,1.4444,43.3333,3,0
1.4444,1.4444,43.3333,4,0
1.4444,1.4444,43.3333,5,0
1.4444,1.4444,43.3333,6,0.2436
1.4444,1.4444,43.3333,7,0.4108
1.4444,1.4444,43.3333,8,0.5161
1.4444,1.4444,43.3333,9,0.5851
1,1.4444,23.3333,8,0.454
1.4444,1.4444,43.3333,10,0.6297
1.4444,1.4444,46.6667,1,0
1.4444,1.4444,46.6667,2,0
1.4444,1.4444,46.6667,3,0
1.4444,1.4444,46.6667,4,0
1.4444,1.4444,46.6667,5,0
1.4444,1.4444,46.6667,6,0.2456
1.4444,1.4444,46.6667,7,0.4134
1.4444,1.4444,46.6667,8,0.5207
1.4444,1.4444,46.6667,9,0.5941
1,1.4444,23.3333,9,0.5158
1.4444,1.4444,46.6667,10,0.6439
1.4444,1.4444,50,1,0
1.4444,1.4444,50,2,0
1.4444,1.4444,50,3,0
1.4444,1.4444,50,4,0
1.4444,1.4444,50,5,0
1.4444,1.4444,50,6,0.2457
1.4444,1.4444,50,7,0.4157
1.4444,1.4444,50,8,0.5232
1.4444,1.4444,50,9,0.5996
1,1,23.3333,2,0
1,1.4444,23.3333,10,0.5586
1.4444,1.4444,50,10,0.6475
1.4444,1.8889,20,1,0
1.4444,1.8889,20,2,0
1.4444,1.8889,20,3,0
1.4444,1.8889,20,4,0
1.4444,1.8889,20,5,0
1.4444,1.8889,20,6,0
1.4444,1.8889,20,7,0.024
1.4444,1.8889,20,8,0.1738
1.4444,1.8889,20,9,0.2825
1,1.4444,26.6667,1,0
1.4444,1.8889,20,10,0.3635
1.4444,1.8889,23.3333,1,0
1.4444,1.8889,23.3333,2,0
1.4444,1.8889,23.3333,3,0
1.4444,1.8889,23.3333,4,0
1.4444,1.8889,23.3333,5,0
1.4444,1.8889,23.3333,6,0
1.4444,1.8889,23.3333,7,0.0544
1.4444,1.8889,23.3333,8,0.2034
1.4444,1.8889,23.3333,9,0.3113
1,1.4444,26.6667,2,0
1.4444,1.8889,23.3333,10,0.3855
1.4444,1.8889,26.6667,1,0
1.4444,1.8889,26.6667,2,0
1.4444,1.8889,26.6667,3,0
1.4444,1.8889,26.6667,4,0
1.4444,1.8889,26.6667,5,0
1.4444,1.8889,26.6667,6,0
1.4444,1.8889,26.6667,7,0.0699
1.4444,1.8889,26.6667,8,0.2187
1.4444,1.8889,26.6667,9,0.3252
1,1.4444,26.6667,3,0
1.4444,1.8889,26.6667,10,0.4042
1.4444,1.8889,30,1,0
1.4444,1.8889,30,2,0
1.4444,1.8889,30,3,0
1.4444,1.8889,30,4,0
1.4444,1.8889,30,5,0
1.4444,1.8889,30,6,0
1.4444,1.8889,30,7,0.0797
1.4444,1.8889,30,8,0.2359
1.4444,1.8889,30,9,0.3416
1,1.4444,26.6667,4,0
1.4444,1.8889,30,10,0.4165
1.4444,1.8889,33.3333,1,0
1.4444,1.8889,33.3333,2,0
1.4444,1.8889,33.3333,3,0
1.4444,1.8889,33.3333,4,0
1.4444,1.8889,33.3333,5,0
1.4444,1.8889,33.3333,6,0
1.4444,1.8889,33.3333,7,0.0958
1.4444,1.8889,33.3333,8,0.2315
1.4444,1.8889,33.3333,9,0.3546
1,1.4444,26.6667,5,0
1.4444,1.8889,33.3333,10,0.4311
1.4444,1.8889,36.6667,1,0
1.4444,1.8889,36.6667,2,0
1.4444,1.8889,36.6667,3,0
1.4444,1.8889,36.6667,4,0
1.4444,1.8889,36.6667,5,0
1.4444,1.8889,36.6667,6,0
1.4444,1.8889,36.6667,7,0.0654
1.4444,1.8889,36.6667,8,0.2329
1.4444,1.8889,36.6667,9,0.3482
1,1.4444,26.6667,6,0.2071
1.4444,1.8889,36.6667,10,0.4336
1.4444,1.8889,40,1,0
1.4444,1.8889,40,2,0
1.4444,1.8889,40,3,0
1.4444,1.8889,40,4,0
1.4444,1.8889,40,5,0
1.4444,1.8889,40,6,0
1.4444,1.8889,40,7,0.069
1.4444,1.8889,40,8,0.2355
1.4444,1.8889,40,9,0.3574
1,1.4444,26.6667,7,0.3636
1.4444,1.8889,40,10,0.4439
1.4444,1.8889,43.3333,1,0
1.4444,1.8889,43.3333,2,0
1.4444,1.8889,43.3333,2,0
1.4444,1.8889,43.3333,3,0
1.4444,1.8889,43.3333,4,0
1.4444,1.8889,43.3333,5,0
1.4444,1.8889,43.3333,6,0
1.4444,1.8889,43.3333,7,0.0673
1.4444,1.8889,43.3333,8,0.2438
1.4444,1.8889,43.3333,9,0.3767
1,1.4444,26.6667,8,0.4619
1.4444,1.8889,43.3333,10,0.4507
1.4444,1.8889,46.6667,1,0
1.4444,1.8889,46.6667,2,0
1.4444,1.8889,46.6667,3,0
1.4444,1.8889,46.6667,4,0
1.4444,1.8889,46.6667,5,0
1.4444,1.8889,46.6667,6,0
1.4444,1.8889,46.6667,7,0.0745
1.4444,1.8889,46.6667,8,0.2486
1.4444,1.8889,46.6667,9,0.3708
1,1.4444,26.6667,9,0.5277
1.4444,1.8889,46.6667,10,0.4577
1.4444,1.8889,50,1,0
1.4444,1.8889,50,2,0
1.4444,1.8889,50,3,0
1.4444,1.8889,50,4,0
1.4444,1.8889,50,4,0
1.4444,1.8889,50,5,0
1.4444,1.8889,50,6,0
1.4444,1.8889,50,7,0.0713
1.4444,1.8889,50,8,0.2513
1.4444,1.8889,50,9,0.378
1,1,23.3333,3,0
1,1.4444,26.6667,10,0.573
1.4444,1.8889,50,10,0.464
1.4444,2.3333,20,1,0
1.4444,2.3333,20,2,0
1.4444,2.3333,20,3,0
1.4444,2.3333,20,4,0
1.4444,2.3333,20,5,0
1.4444,2.3333,20,6,0
1.4444,2.3333,20,7,0
1.4444,2.3333,20,8,0
1.4444,2.3333,20,9,0.0661
1,1.4444,30,1,0
1.4444,2.3333,20,10,0.1795
1.4444,2.3333,23.3333,1,0
1.4444,2.3333,23.3333,2,0
1.4444,2.3333,23.3333,3,0
1.4444,2.3333,23.3333,4,0
1.4444,2.3333,23.3333,5,0
1.4444,2.3333,23.3333,6,0
1.4444,2.3333,23.3333,7,0
1.4444,2.3333,23.3333,8,0
1.4444,2.3333,23.3333,9,0.0622
1,1.4444,30,2,0
1.4444,2.3333,23.3333,10,0.1778
1.4444,2.3333,26.6667,1,0
1.4444,2.3333,26.6667,2,0
1.4444,2.3333,26.6667,3,0
1.4444,2.3333,26.6667,4,0
1.4444,2.3333,26.6667,5,0
1.4444,2.3333,26.6667,6,0
1.4444,2.3333,26.6667,7,0
1.4444,2.3333,26.6667,8,0
1.4444,2.3333,26.6667,9,0.1024
1,1.4444,30,3,0
1.4444,2.3333,26.6667,10,0.2182
1.4444,2.3333,30,1,0
1.4444,2.3333,30,2,0
1.4444,2.3333,30,3,0
1.4444,2.3333,30,4,0
1.4444,2.3333,30,5,0
1.4444,2.3333,30,6,0
1.4444,2.3333,30,7,0
1.4444,2.3333,30,8,0
1.4444,2.3333,30,9,0.1213
1,1.4444,30,4,0
1.4444,2.3333,30,10,0.2356
1.4444,2.3333,33.3333,1,0
1.4444,2.3333,33.3333,2,0
1.4444,2.3333,33.3333,3,0
1.4444,2.3333,33.3333,4,0
1.4444,2.3333,33.3333,5,0
1.4444,2.3333,33.3333,6,0
1.4444,2.3333,33.3333,7,0
1.4444,2.3333,33.3333,8,0
1.4444,2.3333,33.3333,9,0.1254
1,1.4444,30,5,0
1.4444,2.3333,33.3333,10,0.2419
1.4444,2.3333,36.6667,1,0
1.4444,2.3333,36.6667,2,0
1.4444,2.3333,36.6667,3,0
1.4444,2.3333,36.6667,4,0
1.4444,2.3333,36.6667,5,0
1.4444,2.3333,36.6667,6,0
1.4444,2.3333,36.6667,7,0
1.4444,2.3333,36.6667,8,0
1.4444,2.3333,36.6667,9,0.131
1,1.4444,30,6,0.2154
1.4444,2.3333,36.6667,10,0.2503
1.4444,2.3333,40,1,0
1.4444,2.3333,40,2,0
1.4444,2.3333,40,3,0
1.4444,2.3333,40,4,0
1.4444,2.3333,40,5,0
1.4444,2.3333,40,6,0
1.4444,2.3333,40,7,0
1.4444,2.3333,40,8,0
1.4444,2.3333,40,9,0.1364
1,1.4444,30,7,0.3711
1.4444,2.3333,40,10,0.2565
1.4444,2.3333,43.3333,1,0
1.4444,2.3333,43.3333,2,0
1.4444,2.3333,43.3333,3,0
1.4444,2.3333,43.3333,4,0
1.4444,2.3333,43.3333,5,0
1.4444,2.3333,43.3333,6,0
1.4444,2.3333,43.3333,7,0
1.4444,2.3333,43.3333,8,0
1.4444,2.3333,43.3333,9,0.1375
1,1.4444,30,8,0.4754
1,1.4444,30,8,0.4754
1.4444,2.3333,43.3333,10,0.2641
1.4444,2.3333,46.6667,1,0
1.4444,2.3333,46.6667,2,0
1.4444,2.3333,46.6667,3,0
1.4444,2.3333,46.6667,4,0
1.4444,2.3333,46.6667,5,0
1.4444,2.3333,46.6667,6,0
1.4444,2.3333,46.6667,7,0
1.4444,2.3333,46.6667,8,0
1.4444,2.3333,46.6667,9,0.1445
1,1.4444,30,9,0.5413
1.4444,2.3333,46.6667,10,0.268
1.4444,2.3333,50,1,0
1.4444,2.3333,50,2,0
1.4444,2.3333,50,3,0
1.4444,2.3333,50,4,0
1.4444,2.3333,50,5,0
1.4444,2.3333,50,6,0
1.4444,2.3333,50,7,0
1.4444,2.3333,50,8,0
1.4444,2.3333,50,9,0.1449
1,1,23.3333,4,0.194
1,1.4444,30,10,0.5911
1.4444,2.3333,50,10,0.2654
1.4444,2.7778,20,1,0
1.4444,2.7778,20,2,0
1.4444,2.7778,20,3,0
1.4444,2.7778,20,4,0
1.4444,2.7778,20,5,0
1.4444,2.7778,20,6,0
1.4444,2.7778,20,7,0
1.4444,2.7778,20,8,0
1.4444,2.7778,20,9,0
1,1.4444,33.3333,1,0
1.4444,2.7778,20,10,0
1.4444,2.7778,23.3333,1,0
1.4444,2.7778,23.3333,2,0
1.4444,2.7778,23.3333,3,0
1.4444,2.7778,23.3333,4,0
1.4444,2.7778,23.3333,5,0
1.4444,2.7778,23.3333,6,0
1.4444,2.7778,23.3333,7,0
1.4444,2.7778,23.3333,8,0
1.4444,2.7778,23.3333,9,0
1,1.4444,33.3333,2,0
1.4444,2.7778,23.3333,10,0
1.4444,2.7778,26.6667,1,0
1.4444,2.7778,26.6667,2,0
1.4444,2.7778,26.6667,3,0
1.4444,2.7778,26.6667,4,0
1.4444,2.7778,26.6667,5,0
1.4444,2.7778,26.6667,6,0
1.4444,2.7778,26.6667,7,0
1.4444,2.7778,26.6667,8,0
1.4444,2.7778,26.6667,9,0
1,1.4444,33.3333,3,0
1.4444,2.7778,26.6667,10,0
1.4444,2.7778,30,1,0
1.4444,2.7778,30,2,0
1.4444,2.7778,30,3,0
1.4444,2.7778,30,4,0
1.4444,2.7778,30,5,0
1.4444,2.7778,30,6,0
1.4444,2.7778,30,7,0
1.4444,2.7778,30,8,0
1.4444,2.7778,30,9,0
1,1.4444,33.3333,4,0
1.4444,2.7778,30,10,0.002
1.4444,2.7778,33.3333,1,0
1.4444,2.7778,33.3333,2,0
1.4444,2.7778,33.3333,3,0
1.4444,2.7778,33.3333,4,0
1.4444,2.7778,33.3333,5,0
1.4444,2.7778,33.3333,6,0
1.4444,2.7778,33.3333,7,0
1.4444,2.7778,33.3333,8,0
1.4444,2.7778,33.3333,9,0
1,1.4444,33.3333,5,0
1.4444,2.7778,33.3333,10,0.0254
1.4444,2.7778,36.6667,1,0
1.4444,2.7778,36.6667,2,0
1.4444,2.7778,36.6667,3,0
1.4444,2.7778,36.6667,4,0
1.4444,2.7778,36.6667,5,0
1.4444,2.7778,36.6667,6,0
1.4444,2.7778,36.6667,7,0
1.4444,2.7778,36.6667,8,0
1.4444,2.7778,36.6667,9,0
1,1.4444,33.3333,6,0.2153
1.4444,2.7778,36.6667,10,0.0333
1.4444,2.7778,40,1,0
1.4444,2.7778,40,2,0
1.4444,2.7778,40,3,0
1.4444,2.7778,40,4,0
1.4444,2.7778,40,5,0
1.4444,2.7778,40,6,0
1.4444,2.7778,40,7,0
1.4444,2.7778,40,8,0
1.4444,2.7778,40,9,0
1,1.4444,33.3333,7,0.3797
1.4444,2.7778,40,10,0.0325
1.4444,2.7778,43.3333,1,0
1.4444,2.7778,43.3333,2,0
1.4444,2.7778,43.3333,3,0
1.4444,2.7778,43.3333,4,0
1.4444,2.7778,43.3333,5,0
1.4444,2.7778,43.3333,6,0
1.4444,2.7778,43.3333,7,0
1.4444,2.7778,43.3333,8,0
1.4444,2.7778,43.3333,9,0
1,1.4444,33.3333,8,0.4844
1.4444,2.7778,43.3333,10,0.0309
1.4444,2.7778,46.6667,1,0
1.4444,2.7778,46.6667,2,0
1.4444,2.7778,46.6667,3,0
1.4444,2.7778,46.6667,4,0
1.4444,2.7778,46.6667,5,0
1.4444,2.7778,46.6667,6,0
1.4444,2.7778,46.6667,7,0
1.4444,2.7778,46.6667,8,0
1.4444,2.7778,46.6667,9,0
1,1.4444,33.3333,9,0.5544
1.4444,2.7778,46.6667,10,0.0337
1.4444,2.7778,50,1,0
1.4444,2.7778,50,2,0
1.4444,2.7778,50,3,0
1.4444,2.7778,50,4,0
1.4444,2.7778,50,5,0
1.4444,2.7778,50,6,0
1.4444,2.7778,50,7,0
1.4444,2.7778,50,8,0
1.4444,2.7778,50,9,0
1,1,23.3333,5,0.4099
1,1.4444,33.3333,10,0.6012
1.4444,2.7778,50,10,0.034
1.4444,3.2222,20,1,0
1.4444,3.2222,20,2,0
1.4444,3.2222,20,3,0
1.4444,3.2222,20,4,0
1.4444,3.2222,20,5,0
1.4444,3.2222,20,6,0
1.4444,3.2222,20,7,0
1.4444,3.2222,20,8,0
1.4444,3.2222,20,9,0
1,1.4444,36.6667,1,0
1.4444,3.2222,20,10,0
1.4444,3.2222,23.3333,1,0
1.4444,3.2222,23.3333,2,0
1.4444,3.2222,23.3333,3,0
1.4444,3.2222,23.3333,4,0
1.4444,3.2222,23.3333,5,0
1.4444,3.2222,23.3333,6,0
1.4444,3.2222,23.3333,7,0
1.4444,3.2222,23.3333,8,0
1.4444,3.2222,23.3333,9,0
1,1.4444,36.6667,2,0
1.4444,3.2222,23.3333,10,0
1.4444,3.2222,26.6667,1,0
1.4444,3.2222,26.6667,2,0
1.4444,3.2222,26.6667,3,0
1.4444,3.2222,26.6667,4,0
1.4444,3.2222,26.6667,5,0
1.4444,3.2222,26.6667,6,0
1.4444,3.2222,26.6667,7,0
1.4444,3.2222,26.6667,8,0
1.4444,3.2222,26.6667,9,0
1,1.4444,36.6667,3,0
1.4444,3.2222,26.6667,10,0
1.4444,3.2222,30,1,0
1.4444,3.2222,30,2,0
1.4444,3.2222,30,3,0
1.4444,3.2222,30,4,0
1.4444,3.2222,30,5,0
1.4444,3.2222,30,6,0
1.4444,3.2222,30,7,0
1.4444,3.2222,30,8,0
1.4444,3.2222,30,9,0
1,1.4444,36.6667,4,0
1.4444,3.2222,30,10,0
1.4444,3.2222,33.3333,1,0
1.4444,3.2222,33.3333,2,0
1.4444,3.2222,33.3333,3,0
1.4444,3.2222,33.3333,4,0
1.4444,3.2222,33.3333,5,0
1.4444,3.2222,33.3333,6,0
1.4444,3.2222,33.3333,7,0
1.4444,3.2222,33.3333,8,0
1.4444,3.2222,33.3333,9,0
1,1.4444,36.6667,5,0
1.4444,3.2222,33.3333,10,0
1.4444,3.2222,36.6667,1,0
1.4444,3.2222,36.6667,2,0
1.4444,3.2222,36.6667,3,0
1.4444,3.2222,36.6667,4,0
1.4444,3.2222,36.6667,5,0
1.4444,3.2222,36.6667,6,0
1.4444,3.2222,36.6667,7,0
1.4444,3.2222,36.6667,8,0
1.4444,3.2222,36.6667,9,0
1,1.4444,36.6667,6,0.2229
1.4444,3.2222,36.6667,10,0
1.4444,3.2222,40,1,0
1.4444,3.2222,40,2,0
1.4444,3.2222,40,3,0
1.4444,3.2222,40,4,0
1.4444,3.2222,40,5,0
1.4444,3.2222,40,6,0
1.4444,3.2222,40,7,0
1.4444,3.2222,40,8,0
1.4444,3.2222,40,9,0
1,1.4444,36.6667,7,0.3863
1.4444,3.2222,40,10,0
1.4444,3.2222,43.3333,1,0
1.4444,3.2222,43.3333,2,0
1.4444,3.2222,43.3333,3,0
1.4444,3.2222,43.3333,4,0
1.4444,3.2222,43.3333,5,0
1.4444,3.2222,43.3333,6,0
1.4444,3.2222,43.3333,7,0
1.4444,3.2222,43.3333,8,0
1.4444,3.2222,43.3333,9,0
1,1.4444,36.6667,8,0.482
1.4444,3.2222,43.3333,10,0
1.4444,3.2222,46.6667,1,0
1.4444,3.2222,46.6667,2,0
1.4444,3.2222,46.6667,3,0
1.4444,3.2222,46.6667,4,0
1.4444,3.2222,46.6667,5,0
1.4444,3.2222,46.6667,6,0
1.4444,3.2222,46.6667,7,0
1.4444,3.2222,46.6667,8,0
1.4444,3.2222,46.6667,9,0
1,1.4444,36.6667,9,0.5677
1.4444,3.2222,46.6667,10,0
1.4444,3.2222,50,1,0
1.4444,3.2222,50,2,0
1.4444,3.2222,50,3,0
1.4444,3.2222,50,4,0
1.4444,3.2222,50,5,0
1.4444,3.2222,50,6,0
1.4444,3.2222,50,7,0
1.4444,3.2222,50,8,0
1.4444,3.2222,50,9,0
1,1,23.3333,6,0.5282
1,1.4444,36.6667,10,0.6157
1.4444,3.2222,50,10,0
1.4444,3.6667,20,1,0
1.4444,3.6667,20,2,0
1.4444,3.6667,20,3,0
1.4444,3.6667,20,4,0
1.4444,3.6667,20,5,0
1.4444,3.6667,20,6,0
1.4444,3.6667,20,7,0
1.4444,3.6667,20,8,0
1.4444,3.6667,20,9,0
1,1.4444,40,1,0
1.4444,3.6667,20,10,0
1.4444,3.6667,23.3333,1,0
1.4444,3.6667,23.3333,2,0
1.4444,3.6667,23.3333,3,0
1.4444,3.6667,23.3333,4,0
1.4444,3.6667,23.3333,5,0
1.4444,3.6667,23.3333,6,0
1.4444,3.6667,23.3333,7,0
1.4444,3.6667,23.3333,8,0
1.4444,3.6667,23.3333,9,0
1,1.4444,40,2,0
1.4444,3.6667,23.3333,10,0
1.4444,3.6667,26.6667,1,0
1.4444,3.6667,26.6667,2,0
1.4444,3.6667,26.6667,3,0
1.4444,3.6667,26.6667,4,0
1.4444,3.6667,26.6667,5,0
1.4444,3.6667,26.6667,6,0
1.4444,3.6667,26.6667,7,0
1.4444,3.6667,26.6667,8,0
1.4444,3.6667,26.6667,9,0
1,1.4444,40,3,0
1.4444,3.6667,26.6667,10,0
1.4444,3.6667,30,1,0
1.4444,3.6667,30,2,0
1.4444,3.6667,30,3,0
1.4444,3.6667,30,4,0
1.4444,3.6667,30,5,0
1.4444,3.6667,30,6,0
1.4444,3.6667,30,7,0
1.4444,3.6667,30,8,0
1.4444,3.6667,30,9,0
1,1.4444,40,4,0
1.4444,3.6667,30,10,0
1.4444,3.6667,33.3333,1,0
1.4444,3.6667,33.3333,2,0
1.4444,3.6667,33.3333,3,0
1.4444,3.6667,33.3333,4,0
1.4444,3.6667,33.3333,5,0
1.4444,3.6667,33.3333,6,0
1.4444,3.6667,33.3333,7,0
1.4444,3.6667,33.3333,8,0
1.4444,3.6667,33.3333,9,0
1,1.4444,40,5,0
1.4444,3.6667,33.3333,10,0
1.4444,3.6667,36.6667,1,0
1.4444,3.6667,36.6667,2,0
1.4444,3.6667,36.6667,3,0
1.4444,3.6667,36.6667,4,0
1.4444,3.6667,36.6667,5,0
1.4444,3.6667,36.6667,6,0
1.4444,3.6667,36.6667,7,0
1.4444,3.6667,36.6667,8,0
1.4444,3.6667,36.6667,9,0
1,1.4444,40,6,0.2218
1.4444,3.6667,36.6667,10,0
1.4444,3.6667,40,1,0
1.4444,3.6667,40,2,0
1.4444,3.6667,40,3,0
1.4444,3.6667,40,4,0
1.4444,3.6667,40,5,0
1.4444,3.6667,40,6,0
1.4444,3.6667,40,7,0
1.4444,3.6667,40,8,0
1.4444,3.6667,40,9,0
1,1.4444,40,7,0.3909
1.4444,3.6667,40,10,0
1.4444,3.6667,43.3333,1,0
1.4444,3.6667,43.3333,2,0
1.4444,3.6667,43.3333,3,0
1.4444,3.6667,43.3333,4,0
1.4444,3.6667,43.3333,5,0
1.4444,3.6667,43.3333,6,0
1.4444,3.6667,43.3333,7,0
1.4444,3.6667,43.3333,8,0
1.4444,3.6667,43.3333,9,0
1,1.4444,40,8,0.4993
1.4444,3.6667,43.3333,10,0
1.4444,3.6667,46.6667,1,0
1.4444,3.6667,46.6667,2,0
1.4444,3.6667,46.6667,3,0
1.4444,3.6667,46.6667,4,0
1.4444,3.6667,46.6667,5,0
1.4444,3.6667,46.6667,6,0
1.4444,3.6667,46.6667,7,0
1.4444,3.6667,46.6667,8,0
1.4444,3.6667,46.6667,9,0
1,1.4444,40,9,0.571
1.4444,3.6667,46.6667,10,0
1.4444,3.6667,50,1,0
1.4444,3.6667,50,2,0
1.4444,3.6667,50,3,0
1.4444,3.6667,50,4,0
1.4444,3.6667,50,5,0
1.4444,3.6667,50,6,0
1.4444,3.6667,50,7,0
1.4444,3.6667,50,8,0
